timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-09-26T10:49:48,llama2_emissions,f3490bf9-fbb8-4168-9c6a-84384289183e,3.452588081359864,4.157145837738007e-05,1.2040665552262004e-05,75.0,874.1954440034118,32.36384582519531,7.192565997441609e-05,0.000386891698402,3.095582907136001e-05,0.0004897731874477,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:49:55,llama2_emissions,1f93a468-416f-48a3-8473-da2f27e2dbce,3.4727988243103027,4.171608221682865e-05,1.2012236909551895e-05,75.0,0.0,32.36384582519531,7.234686613082886e-05,0.000387987532612,3.114267116643532e-05,0.0004914770699092,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:50:02,llama2_emissions,cff7fcf5-d6a3-48aa-96e3-df3216dd5237,3.496966600418091,4.180221560480121e-05,1.1953850402747174e-05,75.0,1145.0363100784484,32.36384582519531,7.28502223889033e-05,0.000388309755092,3.133187097160771e-05,0.0004924918484525,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:50:06,llama2_emissions,68f9900a-521b-435a-bf48-13fd19c922d2,0.7210972309112549,8.416674326969647e-06,1.167203806390082e-05,75.0,678.6905105571919,32.36384582519531,1.501971979935964e-05,7.77481177539896e-05,6.39301880652359e-06,9.916085635987284e-05,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:50:10,llama2_emissions,248d79ac-de26-4546-b841-a7bc33e28c5e,0.3931245803833008,4.370878933894792e-06,1.1118304863138134e-05,75.0,0.0,32.36384582519531,8.186921477317811e-06,3.983253186599228e-05,3.4759569925184525e-06,5.149541033582855e-05,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:50:16,llama2_emissions,a0140afc-976c-4a0a-92fd-7f7c380ccd33,3.4437992572784424,4.147929548835639e-05,1.2044632218527323e-05,75.0,0.0,32.36384582519531,7.174271841843922e-05,0.0003860430866119,3.090156744516207e-05,0.0004886873724755,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:50:25,llama2_emissions,8ca35b74-02e3-41f8-9327-31bed3405cf0,3.485520362854004,4.0639983569233975e-05,1.1659660348665202e-05,75.0,0.0,32.36384582519531,7.26118783156077e-05,0.0003749100221499,3.1277137803390354e-05,0.0004787990382689,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:50:32,llama2_emissions,8f07f21c-0657-412f-bdbd-fc6e44f87130,3.4372787475585938,4.1508914416574e-05,1.2076097827694848e-05,75.0,0.0,32.36384582519531,7.160687446594238e-05,0.0003865869759359,3.084247680001075e-05,0.0004890363272019,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:50:35,llama2_emissions,6322344a-6ccf-4c75-a005-31b97ac383c2,0.3869569301605224,4.3171537202871575e-06,1.1156677613956314e-05,75.0,0.0,32.36384582519531,8.058393994967143e-06,3.939614262799679e-05,3.407911335743847e-06,5.0862447958707775e-05,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
2024-09-26T10:50:43,llama2_emissions,f80a29a8-83ab-4f58-a0cd-6c75d4d2a762,3.4328675270080566,4.143858528701473e-05,1.207112857137568e-05,75.0,0.0,32.36384582519531,7.151493926843008e-05,0.000385889753156,3.080305374381472e-05,0.0004882077461682,France,FRA,,,,Linux-5.15.0-116-generic-x86_64-with-glibc2.35,3.10.12,2.5.0,30,Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz,2,2 x Tesla V100S-PCIE-32GB,2.3387,48.8582,86.3035888671875,machine,N,1.0
